Heart,Intervention,NumClips,Pressure,FlowRate,Pin,Force,ForceDifference,PressureDifference,FlowDifference,ClipOrder,Treatment,AnnularArea,AnnularPerimeter,SLDiameter,APDiameter,CoaptationGapArea,Leaflet,LeafletArea,LeafletPerimeter,LeafletHeight,LeafletWidth
10,Control,0,34.0597267141485,56.1132417095095,3,0.029669740175601,0,0,0,None,0,1631.74889559937,146.654438867013,44.6068838418478,37.4581984487037,10.2438959284776,Anterior,656.795799121418,152.451251278528,18.673150289493,28.416811911346
10,Control,0,34.0597267141485,56.1132417095095,3,0.029669740175601,0,0,0,None,0,1631.74889559937,146.654438867013,44.6068838418478,37.4581984487037,10.2438959284776,Posterior,514.461054779979,115.276332368098,19.7839243922852,20.5065902841195
10,Control,0,34.0597267141485,56.1132417095095,4,0.0198410676728052,0,0,0,None,0,1631.74889559937,146.654438867013,44.6068838418478,37.4581984487037,10.2438959284776,Septal,490.656392996084,110.026262694478,16.4801340058687,25.2745695510175
10,Control,0,34.0597267141485,56.1132417095095,4,0.0198410676728052,0,0,0,None,0,1631.74889559937,146.654438867013,44.6068838418478,37.4581984487037,10.2438959284776,Anterior,656.795799121418,152.451251278528,18.673150289493,28.416811911346
10,Control,0,34.0597267141485,56.1132417095095,4,0.0198410676728052,0,0,0,None,0,1631.74889559937,146.654438867013,44.6068838418478,37.4581984487037,10.2438959284776,Posterior,514.461054779979,115.276332368098,19.7839243922852,20.5065902841195
10,Control,0,34.0597267141485,56.1132417095095,5,-0.504495343527744,0,0,0,None,0,1631.74889559937,146.654438867013,44.6068838418478,37.4581984487037,10.2438959284776,Septal,490.656392996084,110.026262694478,16.4801340058687,25.2745695510175
10,Control,0,34.0597267141485,56.1132417095095,5,-0.504495343527744,0,0,0,None,0,1631.74889559937,146.654438867013,44.6068838418478,37.4581984487037,10.2438959284776,Anterior,656.795799121418,152.451251278528,18.673150289493,28.416811911346
10,Control,0,34.0597267141485,56.1132417095095,5,-0.504495343527744,0,0,0,None,0,1631.74889559937,146.654438867013,44.6068838418478,37.4581984487037,10.2438959284776,Posterior,514.461054779979,115.276332368098,19.7839243922852,20.5065902841195
10,Control,0,34.0597267141485,56.1132417095095,6,-0.184516768527709,0,0,0,None,0,1631.74889559937,146.654438867013,44.6068838418478,37.4581984487037,10.2438959284776,Septal,490.656392996084,110.026262694478,16.4801340058687,25.2745695510175
10,Control,0,34.0597267141485,56.1132417095095,6,-0.184516768527709,0,0,0,None,0,1631.74889559937,146.654438867013,44.6068838418478,37.4581984487037,10.2438959284776,Anterior,656.795799121418,152.451251278528,18.673150289493,28.416811911346
10,Control,0,34.0597267141485,56.1132417095095,6,-0.184516768527709,0,0,0,None,0,1631.74889559937,146.654438867013,44.6068838418478,37.4581984487037,10.2438959284776,Posterior,514.461054779979,115.276332368098,19.7839243922852,20.5065902841195
10,Control,0,34.0597267141485,56.1132417095095,7,-0.143922460371601,0,0,0,None,0,1631.74889559937,146.654438867013,44.6068838418478,37.4581984487037,10.2438959284776,Septal,490.656392996084,110.026262694478,16.4801340058687,25.2745695510175
