Heart,Intervention,NumClips,Pressure,FlowRate,Pin,Force,ForceDifference,PressureDifference,FlowDifference,ClipOrder,Treatment,AnnularArea,AnnularPerimeter,SLDiameter,APDiameter,CoaptationGapArea
6,Control,0,37.6355324753326,53.8128140432983,1,-0.12759539187961,0,0,0,None,0,1243.12704687161,128.258583249964,37.6824485782239,35.287473736844,12.830827244027
6,Control,0,37.6355324753326,53.8128140432983,2,-0.0290519158685004,0,0,0,None,0,1243.12704687161,128.258583249964,37.6824485782239,35.287473736844,12.830827244027
6,Control,0,37.6355324753326,53.8128140432983,3,-0.100694957068344,0,0,0,None,0,1243.12704687161,128.258583249964,37.6824485782239,35.287473736844,12.830827244027
6,Control,0,37.6355324753326,53.8128140432983,4,-0.0879862629473142,0,0,0,None,0,1243.12704687161,128.258583249964,37.6824485782239,35.287473736844,12.830827244027
6,Control,0,37.6355324753326,53.8128140432983,5,-0.388330330179636,0,0,0,None,0,1243.12704687161,128.258583249964,37.6824485782239,35.287473736844,12.830827244027
6,Control,0,37.6355324753326,53.8128140432983,6,-0.254725180382486,0,0,0,None,0,1243.12704687161,128.258583249964,37.6824485782239,35.287473736844,12.830827244027
6,Control,0,37.6355324753326,53.8128140432983,7,-0.0213512752710639,0,0,0,None,0,1243.12704687161,128.258583249964,37.6824485782239,35.287473736844,12.830827244027
6,Control,0,37.6355324753326,53.8128140432983,8,-0.594081458500897,0,0,0,None,0,1243.12704687161,128.258583249964,37.6824485782239,35.287473736844,12.830827244027
7,Control,0,34.017092166125,58.1529216853713,1,-0.214393302142979,0,0,0,None,0,792.638545998201,105.351230056814,32.1644957050141,31.5978315105229,25.1530326047985
7,Control,0,34.017092166125,58.1529216853713,2,0.135459556120931,0,0,0,None,0,792.638545998201,105.351230056814,32.1644957050141,31.5978315105229,25.1530326047985
7,Control,0,34.017092166125,58.1529216853713,3,0.071127102204028,0,0,0,None,0,792.638545998201,105.351230056814,32.1644957050141,31.5978315105229,25.1530326047985
7,Control,0,34.017092166125,58.1529216853713,4,-0.0337202787539273,0,0,0,None,0,792.638545998201,105.351230056814,32.1644957050141,31.5978315105229,25.1530326047985
7,Control,0,34.017092166125,58.1529216853713,5,0.0342683265549639,0,0,0,None,0,792.638545998201,105.351230056814,32.1644957050141,31.5978315105229,25.1530326047985
7,Control,0,34.017092166125,58.1529216853713,6,9.40128380329079e-05,0,0,0,None,0,792.638545998201,105.351230056814,32.1644957050141,31.5978315105229,25.1530326047985
7,Control,0,34.017092166125,58.1529216853713,7,0.136533554814253,0,0,0,None,0,792.638545998201,105.351230056814,32.1644957050141,31.5978315105229,25.1530326047985
7,Control,0,34.017092166125,58.1529216853713,8,0.040239791103847,0,0,0,None,0,792.638545998201,105.351230056814,32.1644957050141,31.5978315105229,25.1530326047985
8,Control,0,36.987113984556,56.3742505783732,1,-0.774838203147169,0,0,0,None,0,1009.49266798547,115.285716489858,35.5411543266456,28.2508075938575,13.3871978742161
8,Control,0,36.987113984556,56.3742505783732,2,-0.363045875975249,0,0,0,None,0,1009.49266798547,115.285716489858,35.5411543266456,28.2508075938575,13.3871978742161
8,Control,0,36.987113984556,56.3742505783732,3,0.198069631760686,0,0,0,None,0,1009.49266798547,115.285716489858,35.5411543266456,28.2508075938575,13.3871978742161
8,Control,0,36.987113984556,56.3742505783732,4,-0.0618962857778269,0,0,0,None,0,1009.49266798547,115.285716489858,35.5411543266456,28.2508075938575,13.3871978742161
8,Control,0,36.987113984556,56.3742505783732,5,-0.319546087640611,0,0,0,None,0,1009.49266798547,115.285716489858,35.5411543266456,28.2508075938575,13.3871978742161
8,Control,0,36.987113984556,56.3742505783732,6,-0.373486495320262,0,0,0,None,0,1009.49266798547,115.285716489858,35.5411543266456,28.2508075938575,13.3871978742161
8,Control,0,36.987113984556,56.3742505783732,7,-0.171367827732431,0,0,0,None,0,1009.49266798547,115.285716489858,35.5411543266456,28.2508075938575,13.3871978742161
8,Control,0,36.987113984556,56.3742505783732,8,-0.0732450868160642,0,0,0,None,0,1009.49266798547,115.285716489858,35.5411543266456,28.2508075938575,13.3871978742161
9,Control,0,37.1532725856334,53.8158891273849,1,-0.230604864267903,0,0,0,None,0,1245.47910674011,128.276217482125,36.1863631338837,35.9958204482913,8.90910898874361
9,Control,0,37.1532725856334,53.8158891273849,2,0.104113608865161,0,0,0,None,0,1245.47910674011,128.276217482125,36.1863631338837,35.9958204482913,8.90910898874361
9,Control,0,37.1532725856334,53.8158891273849,3,-0.102010114748979,0,0,0,None,0,1245.47910674011,128.276217482125,36.1863631338837,35.9958204482913,8.90910898874361
9,Control,0,37.1532725856334,53.8158891273849,4,-0.290688220491775,0,0,0,None,0,1245.47910674011,128.276217482125,36.1863631338837,35.9958204482913,8.90910898874361
9,Control,0,37.1532725856334,53.8158891273849,5,-0.419307742492631,0,0,0,None,0,1245.47910674011,128.276217482125,36.1863631338837,35.9958204482913,8.90910898874361
9,Control,0,37.1532725856334,53.8158891273849,6,-0.161912158806246,0,0,0,None,0,1245.47910674011,128.276217482125,36.1863631338837,35.9958204482913,8.90910898874361
9,Control,0,37.1532725856334,53.8158891273849,7,-0.00922222346214199,0,0,0,None,0,1245.47910674011,128.276217482125,36.1863631338837,35.9958204482913,8.90910898874361
